datum,zz_kod,zz_nazev,kraj_nuts_kod,kraj_nazev,luzka_standard_kyslik_kapacita_volna_covid_pozitivni,luzka_standard_kyslik_kapacita_volna_covid_negativni,luzka_standard_kyslik_kapacita_celkem,luzka_hfno_cpap_kapacita_volna_covid_pozitivni,luzka_hfno_cpap_kapacita_volna_covid_negativni,luzka_hfno_cpap_kapacita_celkem,luzka_upv_niv_kapacita_volna_covid_pozitivni,luzka_upv_niv_kapacita_volna_covid_negativni,luzka_upv_niv_kapacita_celkem,ecmo_kapacita_volna,ecmo_kapacita_celkem,cvvhd_kapacita_volna,cvvhd_kapacita_celkem,ventilatory_prenosne_kapacita_volna,ventilatory_prenosne_kapacita_celkem,ventilatory_operacni_sal_kapacita_volna,ventilatory_operacni_sal_kapacita_celkem
2021-03-25,26007000,"Klinika Dr. Pírka s.r.o.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,31001000,"Masarykova nemocnice Rakovník s.r.o.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,21002000,"NH Hospital a.s., Nemocnice Hořovice",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,32006000,"Nemocnice České Budějovice, a.s.",CZ031,"Jihočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,33100000,"Nemocnice Český Krumlov, a.s.",CZ031,"Jihočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,34001000,"Nemocnice Jindřichův Hradec, a.s.",CZ031,"Jihočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,37101000,"Nemocnice Prachatice, a.s.",CZ031,"Jihočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,38001000,"Nemocnice Strakonice, a.s.",CZ031,"Jihočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,36101000,"Nemocnice Písek, a.s.",CZ031,"Jihočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,39001000,"Nemocnice Tábor, a.s.",CZ031,"Jihočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,44101000,"Fakultní nemocnice Plzeň",CZ032,"Plzeňský kraj",,,,,,,,,,,,,,,,,
2021-03-25,43010000,"Sušická nemocnice s.r.o.",CZ032,"Plzeňský kraj",,,,,,,,,,,,,,,,,
2021-03-25,44105000,"Mulačova nemocnice s.r.o.",CZ032,"Plzeňský kraj",,,,,,,,,,,,,,,,,
2021-03-25,43001000,"Klatovská nemocnice, a.s.",CZ032,"Plzeňský kraj",,,,,,,,,,,,,,,,,
2021-03-25,47101000,"Rokycanská nemocnice, a.s.",CZ032,"Plzeňský kraj",,,,,,,,,,,,,,,,,
2021-03-25,40001000,"Domažlická nemocnice, a.s.",CZ032,"Plzeňský kraj",,,,,,,,,,,,,,,,,
2021-03-25,45001000,"Stodská nemocnice a.s.",CZ032,"Plzeňský kraj",19,19,118,3,0,8,1,2,5,,,,,1,1,2,2
2021-03-25,44103000,"PRIVAMED a.s., Městská nemocnice Plzeň",CZ032,"Plzeňský kraj",,,,,,,,,,,,,,,,,
2021-03-25,48008000,"NEMOS SOKOLOV s.r.o., Nemocnice Sokolov",CZ041,"Karlovarský kraj",,,,,,,,,,,,,,,,,
2021-03-25,42008000,"KKN a.s., Nemocnice Karlovy Vary",CZ041,"Karlovarský kraj",,,,,,,,,,,,,,,,,
2021-03-25,42041000,"KKN a.s., Nemocnice Cheb",CZ041,"Karlovarský kraj",,,,,,,,,,,,,,,,,
2021-03-25,42010000,"NEMOS PLUS s.r.o., Nemocnice Ostrov",CZ041,"Karlovarský kraj",,,,,,,,,,,,,,,,,
2021-03-25,55021000,"Nemocnice Litoměřice, a.s.",CZ042,"Ústecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,55039000,"Podřipská nemocnice s pol. Roudnice n. L., s.r.o.",CZ042,"Ústecký kraj",0,3,35,4,1,9,0,4,4,,,0,1,3,3,5,5
2021-03-25,52120000,"Nemocnice Kadaň s.r.o.",CZ042,"Ústecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,59001000,"KZ, a.s., Masarykova nem. Ústí n. L., o.z.",CZ042,"Ústecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,51100000,"KZ, a.s., Nemocnice Děčín, o.z.",CZ042,"Ústecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,58101000,"KZ, a.s., Nemocnice Teplice, o.z.",CZ042,"Ústecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,57001000,"KZ, a.s., Nemocnice Most, o.z.",CZ042,"Ústecký kraj",14,34,134,3,3,15,0,0,14,,,2,2,3,3,21,31
2021-03-25,52110000,"KZ, a.s., Nemocnice Chomutov, o.z.",CZ042,"Ústecký kraj",13,15,131,2,0,15,0,2,15,,,0,2,3,3,10,10
2021-03-25,58102000,"VITA, s.r.o., Městská nemocnice Duchcov",CZ042,"Ústecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,51300000,"Lužická nemocnice a poliklinika, a.s.",CZ042,"Ústecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,56007000,"Nemocnice Žatec, o.p.s.",CZ042,"Ústecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,53201000,"Nemocnice Jablonec nad Nisou, p.o.",CZ051,"Liberecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,67102000,"MMN, a.s., Nemocnice Jilemnice",CZ051,"Liberecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,67102000,"MMN, a.s., Nemocnice Semily",CZ051,"Liberecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,50100000,"Nemocnice s poliklinikou Česká Lípa, a.s.",CZ051,"Liberecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,54100000,"Krajská nemocnice Liberec, a.s.",CZ051,"Liberecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,67104000,"Krajská nemocnice Liberec, a.s., Nemocnice Turnov",CZ051,"Liberecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,53286000,"Nemocnice Tanvald, s.r.o.",CZ051,"Liberecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,61004000,"Fakultní nemocnice Hradec Králové",CZ052,"Královéhradecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,69002000,"Městská nemocnice, a.s.",CZ052,"Královéhradecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,64001000,"Oblastní nemocnice Náchod a.s.",CZ052,"Královéhradecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,64001000,"ON Náchod a.s., Nemocnice Rychnov nad Kněžnou",CZ052,"Královéhradecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,69001000,"Oblastní nemocnice Trutnov a.s.",CZ052,"Královéhradecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,63101000,"Oblastní nemocnice Jičín a.s.",CZ052,"Královéhradecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,61303000,"První privátní chirurgické centrum, spol. s r.o.",CZ052,"Královéhradecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,69003000,"Nemocnice Vrchlabí, s.r.o.",CZ052,"Královéhradecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,65001000,"Nem. Pardubického kraje, a.s., Pardubická nem.",CZ053,"Pardubický kraj",,,,,,,,,,,,,,,,,
2021-03-25,62001000,"Nem. Pardubického kraje, a.s., Chrudimská nem.",CZ053,"Pardubický kraj",,,,,,,,,,,,,,,,,
2021-03-25,68001000,"Nem. Pardubického kraje, a.s., Svitavská nem.",CZ053,"Pardubický kraj",,,,,,,,,,,,,,,,,
2021-03-25,68002000,"Nem. Pardubického kraje, a.s., Litomyšlská nem.",CZ053,"Pardubický kraj",,,,,,,,,,,,,,,,,
2021-03-25,70001000,"Nem. Pardubického kraje, a.s., Orlickoústecká nem.",CZ053,"Pardubický kraj",,,,,,,,,,,,,,,,,
2021-03-25,84427000,"Nemocnice sv. Zdislavy, a.s.",CZ063,"Kraj Vysočina",,,,,,,,,,,,,,,,,
2021-03-25,35001000,"Nemocnice Pelhřimov, příspěvková organizace",CZ063,"Kraj Vysočina",,,,,,,,,,,,,,,,,
2021-03-25,79001000,"Nemocnice Třebíč, příspěvková organizace",CZ063,"Kraj Vysočina",,,,,,,,,,,,,,,,,
2021-03-25,76001000,"Nemocnice Jihlava, příspěvková organizace",CZ063,"Kraj Vysočina",,,,,,,,,,,,,,,,,
2021-03-25,60001000,"Nemocnice Havlíčkův Brod, příspěvková organizace",CZ063,"Kraj Vysočina",,,,,,,,,,,,,,,,,
2021-03-25,84231000,"Nemocnice Nové Město na Moravě, p.o.",CZ063,"Kraj Vysočina",,,,,,,,,,,,,,,,,
2021-03-25,72933000,"Úrazová nemocnice v Brně",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,72932000,"Centrum kardiovaskulární a transplantační chirurgie Brno",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,72100000,"Fakultní nemocnice Brno",CZ064,"Jihomoravský kraj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-25,83001000,"Nemocnice Znojmo, příspěvková organizace",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,81001000,"Nemocnice Vyškov, příspěvková organizace",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,73003000,"Nemocnice Ivančice, příspěvková organizace",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,72931000,"Masarykův onkologický ústav",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,72048000,"Nemocnice Milosrdných bratří, příspěvková org.",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,72001000,"Fakultní nemocnice u sv. Anny v Brně",CZ064,"Jihomoravský kraj",48,61,360,8,3,91,5,6,40,1,7,4,6,10,10,20,20
2021-03-25,71113000,"Nemocnice Boskovice, s.r.o.",CZ064,"Jihomoravský kraj",0,52,154,1,0,10,0,0,6,,,0,1,2,2,5,5
2021-03-25,74001000,"Nemocnice Břeclav, příspěvková organizace",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,71101000,"Nemocnice Blansko",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,72037000,"Vojenská nemocnice Brno",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,75001000,"Nemocnice TGM Hodonín, příspěvková organizace",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,75002000,"Nemocnice Kyjov, příspěvková organizace",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,72186000,"SurGal Clinic s.r.o.",CZ064,"Jihomoravský kraj",6,2,8,5,0,5,0,1,4,,,,,1,1,2,2
2021-03-25,89301000,"Fakultní nemocnice Olomouc",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,78006000,"SMN a.s., Nemocnice Prostějov",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,78006000,"SMN a.s., Nemocnice Šternberk",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,78006000,"SMN a.s., Nemocnice Přerov",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,92002000,"Nemocnice Hranice a.s.",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,93201000,"Nemocnice Šumperk a.s.",CZ071,"Olomoucký kraj",5,32,207,,,,,,,,,,,,,,
2021-03-25,95202000,"Jesenická nemocnice a.s.",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,89903000,"Vojenská nemocnice Olomouc",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,94101000,"Vsetínská nemocnice a.s.",CZ072,"Zlínský kraj",10,0,58,7,0,15,1,1,18,,,,,3,3,0,6
2021-03-25,82002000,"EUC Klinika Zlín a.s.",CZ072,"Zlínský kraj",,,,,,,,,,,,,,,,,
2021-03-25,77001000,"Kroměřížská nemocnice a.s.",CZ072,"Zlínský kraj",,,,,,,,,,,,,,,,,
2021-03-25,94102000,"Nemocnice Valašské Meziříčí a.s.",CZ072,"Zlínský kraj",,,,,,,,,,,,,,,,,
2021-03-25,94125000,"ORTHES, spol. s r.o.",CZ072,"Zlínský kraj",,,,,,,,,,,,,,,,,
2021-03-25,80001000,"Uherskohradišťská nemocnice a.s.",CZ072,"Zlínský kraj",,,,,,,,,,,,,,,,,
2021-03-25,82001000,"Krajská nemocnice T. Bati, a. s.",CZ072,"Zlínský kraj",,,,,,,,,,,,,,,,,
2021-03-25,91001000,"Městská nemocnice Ostrava, příspěvková organizace",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,91009000,"Fakultní nemocnice Ostrava",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,85600000,"Sdružené zdravot. zařízení Krnov, p.o., Nemocnice",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,85200000,"Podhorská nemocnice a.s.",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,91950000,"Vítkovická nemocnice a.s.",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,88015000,"Bílovecká nemocnice, a.s.",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,86106000,"Nemocnice Podlesí a.s.",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,88005000,"Městská nemocnice v Odrách, příspěvková organizace",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,86102000,"Nemocnice Třinec, příspěvková organizace",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,86101000,"Nemocnice ve Frýdku-Místku, příspěvková organizace",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,88001000,"Nemocnice Nový Jičín a.s.",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,87001000,"Nemocnice s poliklinikou Karviná-Ráj, p. o.",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,87004000,"Nemocnice s poliklinikou Havířov, p.o.",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,87003000,"Bohumínská městská nemocnice, a.s.",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,90001000,"Slezská nemocnice v Opavě, příspěvková organizace",CZ080,"Moravskoslezský kraj",5,48,267,,,,8,2,18,,,3,3,3,3,8,8
2021-03-25,87013000,"Karvinská hornická nemocnice a.s.",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"ETOILE CZ a.s. (NIP)",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Nemocnice SWISS MED CLINIC s.r.o (NIP)",CZ032,"Plzeňský kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"NEMOS PLUS s.r.o (NIP)",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Nemocnice Vrchlabí (NIP)",CZ052,"Královéhradecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Nemocnice Tanvald (NIP)",CZ051,"Liberecký kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Chronicare s.r.o. (NIP)",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Chronicare Nord s.r.o. (NIP)",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Chronicare Mund s.r.o. (NIP)",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Vršovická zdravotní a.s. (NIP)",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Vysočinské nemocnice s.r.o. (NIP)",CZ063,"Kraj Vysočina",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Domov Březiny, p.o. pavilon 3",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"AquaKlim, s.r.o. - pavilon B",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Sanatorium Jablunkov, a.s.",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"NsP Karviná-Ráj, p.o. - pracoviště Orlová",CZ080,"Moravskoslezský kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Lázně Slatinice a.s. (NIP)",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"ADP - SANCO s.r.o. (NIP)",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Lázně Teplice nad Bečvou a.s. (NIP)",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"SANATORIUM EDEL s.r.o. (NIP)",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Interna Zábřeh, s. r. o. (NIP)",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Hospic na Svatém Kopečku (NIP)",CZ071,"Olomoucký kraj",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Almeda Neratovice",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-25,72100000,"Psychiatrická nemocnice Brno (NIP)",CZ064,"Jihomoravský kraj",,,,,,,,,,,,,,,,,
2021-03-25,61853000,"Estrella Health a.s.",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-25,99999999,"Estrella Health a.s. (NIP)",CZ052,"Královéhradecký kraj",,,,,,,,,,,,,,,,,
2021-03-26,04002000,"Institut klinické a experimentální medicíny",CZ010,"Hlavní město Praha",14,0,185,0,15,24,0,15,24,0,8,0,8,,,15,32
2021-03-26,04004000,"Ústav pro péči o matku a dítě",CZ010,"Hlavní město Praha",2,0,6,,,,1,0,1,,,,,1,1,5,5
2021-03-26,05004000,"Nemocnice Na Homolce",CZ010,"Hlavní město Praha",6,5,14,1,0,4,1,2,20,1,4,3,7,10,12,5,10
2021-03-26,10002000,"Fakultní nemocnice Královské Vinohrady",CZ010,"Hlavní město Praha",2,6,250,2,4,80,0,6,59,1,3,3,14,0,4,22,32
2021-03-26,04005000,"Fakultní Thomayerova nemocnice",CZ010,"Hlavní město Praha",34,59,427,0,0,17,0,0,330,1,1,3,5,9,9,31,31
2021-03-26,08006000,"Fakultní nemocnice Na Bulovce",CZ010,"Hlavní město Praha",20,49,210,72,29,101,2,14,31,0,3,0,1,2,2,2,14
2021-03-26,10714000,"Vršovická zdravotní a.s.",CZ010,"Hlavní město Praha",0,0,16,,,,0,0,17,,,,,0,1,0,0
2021-03-26,01002000,"Nemocnice Milosrdných sester sv.K.Boromejského",CZ010,"Hlavní město Praha",2,2,30,0,0,4,0,0,11,,,1,1,2,8,1,3
2021-03-26,05002000,"Fakultní nemocnice v Motole",CZ010,"Hlavní město Praha",,,,,,,,,,,,,,,,,
2021-03-26,01003000,"Nemocnice Na Františku",CZ010,"Hlavní město Praha",2,2,35,0,0,3,1,1,9,,,,,1,1,,
2021-03-26,02002000,"Ústav hematologie a krevní transfuze",CZ010,"Hlavní město Praha",0,0,32,,,,0,2,2,,,2,2,,,,
2021-03-26,02004000,"Všeobecná fakultní nemocnice v Praze",CZ010,"Hlavní město Praha",2,2,512,1,0,20,1,1,136,1,10,4,22,11,18,15,37
2021-03-26,06051000,"ÚVN - Vojenská fakultní nemocnice Praha",CZ010,"Hlavní město Praha",25,41,311,8,2,24,0,5,40,1,2,2,4,14,16,20,20
2021-03-26,24200000,"Městská nemocnice Čáslav",CZ020,"Středočeský kraj",11,10,72,3,0,8,3,1,4,,,,,1,1,3,3
2021-03-26,22102000,"Nemocnice Slaný",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-26,28002000,"PP Hospitals, s.r.o., Nemocnice Brandýs n/L.",CZ020,"Středočeský kraj",1,0,30,0,0,3,0,0,2,,,,,,,0,1
2021-03-26,27002000,"Městská nemocnice Městec Králové a.s.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-26,21001000,"JESSENIA a.s., Rehabilitační  nemocnice Beroun",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-26,30531000,"Oblastní nemocnice Příbram, a.s.",CZ020,"Středočeský kraj",23,32,196,6,0,21,1,1,12,,,2,2,4,4,4,6
2021-03-26,20101000,"Nemocnice Rudolfa a Stefanie Benešov, a.s.",CZ020,"Středočeský kraj",32,17,180,1,0,5,1,1,7,,,0,1,0,3,,
2021-03-26,23101000,"Oblastní nemocnice Kolín, a.s.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-26,23101000,"Oblastní nem. Kolín, a.s., Nemocnice Kutná Hora",CZ020,"Středočeský kraj",21,0,88,1,0,6,0,0,9,,,,,,,,
2021-03-26,26001000,"Oblastní nemocnice Mladá Boleslav, a.s.",CZ020,"Středočeský kraj",14,22,194,5,3,17,0,0,12,,,4,4,3,3,6,6
2021-03-26,22101000,"Oblastní nemocnice Kladno,a.s.",CZ020,"Středočeský kraj",5,93,450,0,0,8,1,2,31,,,1,2,0,5,0,8
2021-03-26,28003000,"Nemocnice Říčany a.s.",CZ020,"Středočeský kraj",0,0,15,0,0,4,,,,,,,,0,1,2,2
2021-03-26,25110000,"Mělnická zdravotní, a.s., Nemocnice Mělník",CZ020,"Středočeský kraj",7,6,70,1,0,6,1,0,11,,,1,2,2,2,4,6
2021-03-26,27001000,"Nemocnice Nymburk s.r.o.",CZ020,"Středočeský kraj",,,,,,,,,,,,,,,,,
2021-03-26,26007000,"Klinika Dr. Pírka s.r.o.",CZ020,"Středočeský kraj",5,0,11,,,,,,,,,,,,,3,3
2021-03-26,31001000,"Masarykova nemocnice Rakovník s.r.o.",CZ020,"Středočeský kraj",,,,1,0,3,1,0,12,,,1,1,1,1,3,3
2021-03-26,21002000,"NH Hospital a.s., Nemocnice Hořovice",CZ020,"Středočeský kraj",7,18,160,1,1,8,0,0,16,0,1,3,4,2,2,8,8
2021-03-26,32006000,"Nemocnice České Budějovice, a.s.",CZ031,"Jihočeský kraj",21,260,832,6,12,40,2,2,21,2,2,6,6,10,10,18,30
2021-03-26,33100000,"Nemocnice Český Krumlov, a.s.",CZ031,"Jihočeský kraj",6,0,99,2,0,8,0,1,5,,,1,1,1,1,4,4
2021-03-26,34001000,"Nemocnice Jindřichův Hradec, a.s.",CZ031,"Jihočeský kraj",,,,,,,,,,,,,,,,,
2021-03-26,37101000,"Nemocnice Prachatice, a.s.",CZ031,"Jihočeský kraj",4,8,87,1,1,8,0,0,5,,,2,2,2,2,4,4
2021-03-26,38001000,"Nemocnice Strakonice, a.s.",CZ031,"Jihočeský kraj",,,,,,,,,,,,,,,,,
2021-03-26,36101000,"Nemocnice Písek, a.s.",CZ031,"Jihočeský kraj",14,7,160,5,1,20,0,0,10,,,1,1,2,2,4,6
